OverallQual,Neighborhood_encoded,GrLivArea,TotalBsmtSF,GarageArea,YearBuilt,GarageCars,1stFlrSF,MSSubClass_encoded,FullBath,GarageYrBlt,ExterQual_TA,YearRemodAdd,KitchenQual_TA,ExterQual_Gd,TotRmsAbvGrd,2ndFlrSF,KitchenQual_Gd,Exterior2nd_encoded,Foundation_PConc,FireplaceQu_None,Fireplaces,BsmtQual_TA,LotArea,BsmtFinSF1,BsmtQual_Gd,GarageFinish_Unf,OpenPorchSF,Exterior1st_encoded,HeatingQC_Ex,BsmtQual_Ex,BsmtUnfSF,GarageType_Attchd,GarageType_Detchd,GarageFinish_Fin,OverallCond,Foundation_CBlock,WoodDeckSF,GarageFinish_RFn,BsmtFinType1_GLQ,KitchenQual_Ex,MSZoning_RM,MasVnrArea,HalfBath,HeatingQC_TA,LotShape_Reg,CentralAir_Y,MasVnrType_None,SaleType_New,SaleCondition_Partial
5,145878.23747317135,1339,1029,294,1958,1,1339,185223.20977053,1,1958.0,1.0,1965,1.0,0.0,6,0,0.0,168130.415463841,0.0,1.0,0,1.0,7560,504,0.0,1.0,0,194518.646991199,0.0,0.0,525,1.0,0.0,0.0,6,1.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,0.0,0.0
8,315920.0010227745,2376,1158,853,2005,3,1158,239909.0510660367,3,2005.0,0.0,2006,0.0,1.0,9,1218,1.0,214512.41271653058,1.0,0.0,1,0.0,14215,0,0.0,0.0,154,213810.05460707544,1.0,1.0,1158,0.0,0.0,0.0,5,0.0,240,1.0,0.0,0.0,0.0,380.0,1,0.0,0.0,1.0,0.0,1.0,1.0
7,100558.22792898362,1108,637,280,1930,1,1108,109777.54745558939,1,1930.0,1.0,1950,0.0,0.0,6,0,1.0,148419.07240851008,1.0,0.0,1,1.0,7449,0,0.0,1.0,0,149871.79960697473,1.0,0.0,637,1.0,0.0,0.0,7,0.0,0,0.0,0.0,0.0,1.0,0.0,0,0.0,1.0,1.0,1.0,0.0,0.0
8,197943.08974006787,1795,1777,534,2002,2,1795,185223.20977053,2,2002.0,0.0,2002,0.0,1.0,7,0,1.0,214512.41271653058,1.0,0.0,1,0.0,9742,0,1.0,0.0,159,213810.05460707544,1.0,0.0,1777,1.0,0.0,0.0,5,0.0,171,1.0,0.0,0.0,0.0,281.0,0,0.0,1.0,1.0,0.0,0.0,0.0
5,99534.07435803434,1060,1040,572,1976,2,1060,200733.55595135537,1,1976.0,1.0,1976,1.0,0.0,6,0,0.0,229930.4996504683,1.0,0.0,1,0.0,4224,840,1.0,1.0,110,231524.77253199657,0.0,0.0,200,1.0,0.0,0.0,7,0.0,100,0.0,1.0,0.0,1.0,0.0,0,1.0,1.0,1.0,1.0,0.0,0.0
5,136912.1034900026,1060,1060,270,1968,1,1060,185223.20977053,1,1968.0,1.0,2001,0.0,0.0,6,0,1.0,168130.415463841,0.0,0.0,1,1.0,8246,188,0.0,1.0,90,175951.59962068568,1.0,0.0,204,1.0,0.0,0.0,8,1.0,406,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,1.0,0.0,0.0
8,315920.0010227745,1600,1566,890,2007,3,1600,185223.20977053,2,2007.0,0.0,2007,0.0,1.0,7,0,1.0,214512.41271653058,1.0,0.0,1,0.0,14230,0,1.0,0.0,56,213810.05460707544,1.0,0.0,1566,1.0,0.0,0.0,5,0.0,0,1.0,0.0,0.0,0.0,640.0,0,0.0,1.0,1.0,0.0,0.0,0.0
5,145878.23747317135,900,900,576,1951,2,900,185223.20977053,1,2005.0,1.0,2000,0.0,0.0,5,0,1.0,148419.07240851008,0.0,1.0,0,1.0,7200,234,0.0,1.0,32,149871.79960697473,0.0,0.0,180,0.0,1.0,0.0,7,1.0,222,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,0.0,0.0
8,315920.0010227745,1704,1704,772,2007,3,1704,185223.20977053,2,2008.0,0.0,2008,0.0,1.0,7,0,1.0,214512.41271653058,1.0,0.0,1,0.0,11478,1218,0.0,0.0,50,213810.05460707544,1.0,1.0,486,1.0,0.0,0.0,5,0.0,0,1.0,1.0,0.0,0.0,200.0,0,0.0,1.0,1.0,0.0,0.0,0.0
5,145878.23747317135,1600,1484,319,1957,1,1600,185223.20977053,1,1957.0,1.0,1997,1.0,0.0,6,0,0.0,149832.2365964435,0.0,0.0,2,1.0,16321,1277,0.0,0.0,258,149450.79509063665,0.0,0.0,207,1.0,0.0,0.0,6,1.0,288,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0,1.0,1.0,0.0,0.0
4,125026.82266251187,520,520,240,1927,1,520,96075.68033176576,1,1920.0,1.0,1950,0.0,0.0,4,0,0.0,149832.2365964435,0.0,1.0,0,1.0,6324,0,0.0,1.0,0,149450.79509063665,0.0,0.0,520,0.0,1.0,0.0,6,0.0,49,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0
4,100558.22792898362,1317,649,250,1920,1,649,166819.45313884038,1,1920.0,1.0,1950,1.0,0.0,6,668,0.0,195699.84440310282,0.0,1.0,0,1.0,8500,0,0.0,1.0,54,194518.646991199,0.0,0.0,649,0.0,1.0,0.0,4,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0,1.0,0.0,0.0
5,136912.1034900026,1228,1228,271,1966,1,1228,185223.20977053,1,1966.0,1.0,2006,0.0,0.0,6,0,1.0,167674.37296794492,0.0,1.0,0,1.0,8544,0,0.0,1.0,65,163093.5197072826,0.0,0.0,1228,1.0,0.0,0.0,6,1.0,0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1.0,1.0,0.0,0.0
8,197943.08974006787,1234,1234,484,2007,2,1234,185223.20977053,2,2007.0,0.0,2007,0.0,1.0,7,0,1.0,214512.41271653058,1.0,1.0,0,0.0,11049,0,0.0,0.0,30,213810.05460707544,1.0,1.0,1234,1.0,0.0,0.0,5,0.0,0,1.0,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,1.0,0.0,0.0
5,145878.23747317135,1700,1398,447,1959,2,1700,185223.20977053,1,1959.0,1.0,1959,0.0,0.0,6,0,1.0,195699.84440310282,0.0,0.0,1,1.0,10552,1018,0.0,0.0,38,194518.646991199,0.0,0.0,380,1.0,0.0,0.0,5,1.0,0,1.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1.0,1.0,0.0,0.0
9,315920.0010227745,1561,1561,556,2005,2,1561,200733.55595135537,2,2005.0,0.0,2005,0.0,0.0,6,0,0.0,149832.2365964435,1.0,0.0,1,0.0,7313,1153,0.0,0.0,47,149450.79509063665,1.0,1.0,408,1.0,0.0,1.0,5,0.0,203,0.0,1.0,1.0,0.0,246.0,0,0.0,1.0,1.0,0.0,0.0,0.0
8,315920.0010227745,2452,1117,691,2004,3,1132,239909.0510660367,3,2004.0,0.0,2005,0.0,1.0,9,1320,1.0,214512.41271653058,1.0,0.0,1,0.0,13418,0,0.0,0.0,32,213810.05460707544,1.0,1.0,1117,0.0,0.0,1.0,5,0.0,113,0.0,0.0,0.0,0.0,132.0,1,0.0,1.0,1.0,0.0,0.0,0.0
5,197943.08974006787,1097,1097,672,1994,2,1097,185223.20977053,1,1995.0,1.0,1995,1.0,0.0,6,0,0.0,214512.41271653058,1.0,1.0,0,0.0,10859,0,1.0,1.0,64,213810.05460707544,1.0,0.0,1097,1.0,0.0,0.0,5,0.0,392,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,1.0,1.0,0.0,0.0
5,145878.23747317135,1297,1297,498,1954,2,1297,185223.20977053,1,1954.0,1.0,1990,1.0,0.0,5,0,0.0,148419.07240851008,0.0,0.0,1,1.0,8532,1213,0.0,0.0,0,149871.79960697473,0.0,0.0,84,1.0,0.0,1.0,6,1.0,0,0.0,0.0,0.0,0.0,650.0,0,0.0,1.0,1.0,0.0,0.0,0.0
5,145878.23747317135,1057,1057,246,1953,1,1057,185223.20977053,1,1953.0,1.0,2007,0.0,0.0,5,0,1.0,214512.41271653058,0.0,1.0,0,1.0,7922,731,0.0,1.0,52,213810.05460707544,0.0,0.0,326,0.0,1.0,0.0,7,1.0,0,0.0,1.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,0.0,0.0
4,128324.91096764662,1152,0,0,1955,0,1152,133722.64519076995,2,0.0,1.0,1955,0.0,0.0,6,0,0.0,168130.415463841,1.0,1.0,0,0.0,6040,0,0.0,0.0,0,108113.71678010846,0.0,0.0,0,0.0,0.0,0.0,5,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0,1.0,0.0,0.0
6,145878.23747317135,1324,1088,440,1965,2,1324,185223.20977053,2,1965.0,1.0,1965,1.0,0.0,6,0,0.0,148419.07240851008,0.0,0.0,1,1.0,8658,643,0.0,0.0,138,149871.79960697473,1.0,0.0,445,1.0,0.0,0.0,5,1.0,0,1.0,0.0,0.0,0.0,101.0,0,0.0,1.0,1.0,0.0,0.0,0.0
5,243927.12577844597,1328,1350,308,1959,1,1328,185223.20977053,1,1959.0,1.0,1959,1.0,0.0,5,0,0.0,214512.41271653058,0.0,0.0,2,1.0,16905,967,0.0,0.0,104,213810.05460707544,0.0,0.0,383,1.0,0.0,0.0,6,1.0,0,1.0,0.0,0.0,0.0,0.0,1,0.0,1.0,1.0,1.0,0.0,0.0
5,186536.79187429376,884,840,504,1983,2,884,148137.92470090053,1,1983.0,1.0,1983,0.0,0.0,5,0,1.0,167674.37296794492,0.0,1.0,0,0.0,9180,747,1.0,0.0,0,163093.5197072826,0.0,0.0,0,1.0,0.0,0.0,7,1.0,240,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,1.0,0.0,0.0
5,197943.08974006787,938,938,308,1975,1,938,185223.20977053,1,1977.0,1.0,1980,1.0,0.0,5,0,0.0,214512.41271653058,0.0,1.0,0,0.0,9200,280,1.0,1.0,0,213810.05460707544,0.0,0.0,167,0.0,1.0,0.0,6,1.0,145,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,1.0,1.0,0.0,0.0
5,145878.23747317135,1150,1150,300,1959,1,1150,185223.20977053,1,1959.0,1.0,1959,1.0,0.0,6,0,0.0,148419.07240851008,0.0,1.0,0,1.0,7945,179,0.0,0.0,0,194518.646991199,1.0,0.0,465,1.0,0.0,0.0,6,1.0,0,1.0,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,1.0,0.0,0.0
9,315920.0010227745,1752,1752,576,2005,2,1752,200733.55595135537,2,2005.0,0.0,2005,0.0,0.0,6,0,0.0,149832.2365964435,1.0,0.0,1,0.0,7658,456,0.0,0.0,82,149450.79509063665,1.0,1.0,1296,1.0,0.0,0.0,5,0.0,196,1.0,1.0,1.0,0.0,412.0,0,0.0,1.0,1.0,0.0,0.0,0.0
7,156370.3674584998,2149,1434,670,2003,2,1518,143355.16004825375,1,2003.0,0.0,2003,0.0,1.0,6,631,1.0,214512.41271653058,1.0,0.0,1,0.0,12822,1351,0.0,0.0,43,213810.05460707544,1.0,1.0,83,1.0,0.0,0.0,5,0.0,168,1.0,1.0,0.0,0.0,0.0,1,0.0,0.0,1.0,1.0,0.0,0.0
8,225276.7062524152,1656,1656,826,2006,3,1656,185223.20977053,2,2006.0,0.0,2006,0.0,1.0,7,0,1.0,214512.41271653058,1.0,1.0,0,0.0,11096,24,1.0,0.0,146,213810.05460707544,1.0,0.0,1632,1.0,0.0,0.0,5,0.0,0,1.0,1.0,0.0,0.0,0.0,0,0.0,1.0,1.0,1.0,0.0,0.0
4,128318.41942542572,1452,736,0,1920,0,736,129953.18142245663,2,0.0,1.0,2008,1.0,0.0,8,716,0.0,149832.2365964435,0.0,1.0,0,1.0,4456,0,0.0,0.0,0,149450.79509063665,0.0,0.0,736,0.0,0.0,0.0,5,0.0,0,0.0,0.0,0.0,1.0,0.0,0,0.0,1.0,1.0,1.0,1.0,1.0
5,136912.1034900026,955,955,386,1966,1,955,185223.20977053,1,1966.0,1.0,1966,1.0,0.0,6,0,0.0,167674.37296794492,0.0,1.0,0,1.0,7742,763,0.0,1.0,0,163093.5197072826,1.0,0.0,192,1.0,0.0,0.0,7,1.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,1.0,0.0,0.0
6,192824.3949363408,1470,794,388,1997,2,794,239909.0510660367,2,1997.0,1.0,1997,1.0,0.0,6,676,0.0,214512.41271653058,1.0,1.0,0,0.0,13869,182,1.0,0.0,75,213810.05460707544,0.0,0.0,612,1.0,0.0,1.0,6,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,1.0,1.0,0.0,0.0
6,125026.82266251187,1176,816,528,1934,2,816,143355.16004825375,1,1985.0,1.0,1950,1.0,0.0,6,0,0.0,148419.07240851008,1.0,0.0,1,1.0,6240,0,0.0,1.0,0,149871.79960697473,0.0,0.0,816,0.0,1.0,0.0,6,0.0,112,0.0,0.0,0.0,1.0,0.0,0,1.0,1.0,1.0,1.0,0.0,0.0
5,100558.22792898362,816,816,516,1963,2,816,133722.64519076995,1,1963.0,0.0,1963,1.0,0.0,5,0,0.0,148419.07240851008,0.0,1.0,0,0.0,8472,104,1.0,1.0,0,149871.79960697473,0.0,0.0,0,0.0,0.0,0.0,5,1.0,106,0.0,0.0,0.0,1.0,0.0,0,1.0,0.0,0.0,1.0,0.0,0.0
9,237739.82847840988,1842,1842,894,1981,3,1842,185223.20977053,0,1981.0,0.0,1987,0.0,1.0,5,0,1.0,161431.5727475966,0.0,0.0,1,0.0,50271,1810,0.0,0.0,72,150886.18621977826,0.0,1.0,32,1.0,0.0,1.0,5,1.0,857,0.0,1.0,0.0,0.0,0.0,1,0.0,0.0,1.0,1.0,0.0,0.0
5,145878.23747317135,1360,384,572,1955,2,1360,169814.79159017815,1,1962.0,1.0,1955,1.0,0.0,6,0,0.0,149832.2365964435,0.0,0.0,1,1.0,7134,384,0.0,1.0,50,149450.79509063665,0.0,0.0,0,0.0,1.0,0.0,5,1.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,0.0,0.0
6,145878.23747317135,1425,1425,576,1964,2,1425,185223.20977053,2,1964.0,1.0,1964,1.0,0.0,7,0,0.0,168130.415463841,0.0,0.0,1,1.0,10175,490,0.0,0.0,0,163093.5197072826,0.0,0.0,935,1.0,0.0,0.0,5,1.0,0,1.0,0.0,0.0,0.0,272.0,0,0.0,0.0,1.0,0.0,0.0,0.0
8,225276.7062524152,1739,970,480,1999,2,983,138781.1879581992,2,1999.0,0.0,2000,0.0,1.0,7,756,1.0,149832.2365964435,1.0,1.0,0,0.0,2645,649,1.0,0.0,0,149450.79509063665,1.0,0.0,321,1.0,0.0,1.0,5,0.0,115,0.0,1.0,0.0,0.0,456.0,1,0.0,1.0,1.0,0.0,0.0,0.0
7,197943.08974006787,1720,860,565,2004,2,860,239909.0510660367,2,2004.0,0.0,2004,0.0,1.0,7,860,1.0,214512.41271653058,1.0,1.0,0,0.0,11645,0,1.0,0.0,70,213810.05460707544,1.0,0.0,860,1.0,0.0,0.0,5,0.0,0,1.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1.0,1.0,0.0,0.0
10,309470.67773643613,2945,1410,641,2006,3,1426,239909.0510660367,3,2006.0,0.0,2006,0.0,0.0,10,1519,1.0,214512.41271653058,1.0,0.0,1,0.0,13682,0,0.0,0.0,0,213810.05460707544,1.0,1.0,1410,0.0,0.0,1.0,5,0.0,192,0.0,0.0,0.0,0.0,1031.0,1,0.0,0.0,1.0,0.0,1.0,1.0
5,197943.08974006787,780,780,352,1972,1,780,185223.20977053,1,1973.0,1.0,1972,1.0,0.0,4,0,0.0,167674.37296794492,0.0,1.0,0,1.0,7200,632,0.0,1.0,0,163093.5197072826,1.0,0.0,148,0.0,1.0,0.0,7,1.0,196,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,1.0,0.0,0.0
6,186536.79187429376,1158,1158,576,2004,2,1158,185223.20977053,1,2006.0,1.0,2004,0.0,0.0,5,0,1.0,214512.41271653058,1.0,1.0,0,0.0,13072,941,1.0,1.0,50,213810.05460707544,1.0,0.0,217,0.0,1.0,0.0,5,0.0,0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,1.0,1.0,1.0,1.0
5,100558.22792898362,1111,530,288,1920,1,581,192295.43697272782,1,1935.0,1.0,1996,0.0,0.0,6,530,0.0,149832.2365964435,0.0,1.0,0,1.0,7200,0,0.0,1.0,0,149450.79509063665,0.0,0.0,530,0.0,1.0,0.0,7,0.0,0,0.0,0.0,0.0,1.0,0.0,0,1.0,1.0,0.0,1.0,0.0,0.0
8,315920.0010227745,1370,1370,484,2006,2,1370,200733.55595135537,2,2006.0,0.0,2006,0.0,1.0,6,0,1.0,214512.41271653058,1.0,0.0,1,0.0,6442,24,1.0,0.0,49,213810.05460707544,1.0,0.0,1346,1.0,0.0,0.0,5,0.0,120,1.0,1.0,0.0,0.0,178.0,0,0.0,0.0,1.0,0.0,0.0,0.0
7,128318.41942542572,1710,576,480,1921,2,902,166819.45313884038,2,1990.0,1.0,1950,1.0,0.0,9,808,0.0,156096.18621977826,0.0,1.0,0,1.0,10300,0,0.0,1.0,11,163132.3840856425,0.0,0.0,576,0.0,1.0,0.0,6,0.0,12,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,1.0,1.0,0.0,0.0
7,197943.08974006787,2034,1057,645,1997,2,1057,239909.0510660367,2,1998.0,1.0,1998,0.0,0.0,8,977,1.0,214512.41271653058,1.0,1.0,0,0.0,9375,739,1.0,0.0,36,213810.05460707544,1.0,0.0,318,1.0,0.0,0.0,5,0.0,576,1.0,1.0,0.0,0.0,573.0,1,0.0,1.0,1.0,0.0,0.0,0.0
8,315920.0010227745,2473,1143,852,2004,3,1143,239909.0510660367,2,2004.0,0.0,2005,0.0,1.0,9,1330,1.0,214512.41271653058,1.0,0.0,1,0.0,9591,0,0.0,0.0,151,213810.05460707544,1.0,1.0,1143,0.0,0.0,0.0,5,0.0,192,1.0,0.0,0.0,0.0,344.0,1,0.0,1.0,1.0,0.0,0.0,0.0
7,145878.23747317135,2207,1947,576,1970,2,2207,185223.20977053,2,1970.0,1.0,1989,1.0,0.0,7,0,0.0,168130.415463841,0.0,0.0,1,0.0,19900,912,1.0,0.0,0,175951.59962068568,0.0,0.0,1035,1.0,0.0,0.0,5,1.0,301,1.0,1.0,0.0,0.0,287.0,0,1.0,1.0,1.0,0.0,0.0,0.0
7,197943.08974006787,1479,1453,558,2003,2,1479,185223.20977053,2,2003.0,0.0,2003,0.0,1.0,7,0,1.0,214512.41271653058,1.0,1.0,0,0.0,10665,1013,1.0,0.0,29,213810.05460707544,1.0,0.0,440,1.0,0.0,0.0,5,0.0,144,1.0,1.0,0.0,0.0,167.0,0,0.0,0.0,1.0,0.0,0.0,0.0
4,128318.41942542572,747,747,220,1945,1,747,96075.68033176576,1,1945.0,1.0,1950,1.0,0.0,4,0,0.0,149832.2365964435,0.0,1.0,0,1.0,4608,0,0.0,1.0,0,149450.79509063665,0.0,0.0,747,1.0,0.0,0.0,6,1.0,0,0.0,0.0,0.0,1.0,0.0,0,1.0,1.0,1.0,1.0,0.0,0.0
7,212341.06662972306,2287,1304,667,1953,2,1304,143355.16004825375,2,1953.0,0.0,1953,1.0,1.0,7,983,0.0,114722.62767119757,0.0,0.0,1,1.0,15593,603,0.0,0.0,21,194518.646991199,0.0,0.0,701,1.0,0.0,1.0,4,1.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,0.0,0.0
7,145878.23747317135,2223,2223,516,1973,2,2223,185223.20977053,2,1973.0,1.0,1973,1.0,0.0,8,0,0.0,168130.415463841,0.0,0.0,2,0.0,13651,1880,1.0,0.0,0,175951.59962068568,1.0,0.0,343,1.0,0.0,1.0,6,1.0,300,0.0,0.0,0.0,0.0,1115.0,0,0.0,0.0,1.0,0.0,0.0,0.0
