OverallQual,Neighborhood_encoded,GrLivArea,YearBuilt,TotalBsmtSF,GarageArea,GarageCars,1stFlrSF,MSSubClass_encoded,ExterQual_TA,GarageYrBlt,FullBath,YearRemodAdd,KitchenQual_TA,TotRmsAbvGrd,ExterQual_Gd,2ndFlrSF,Foundation_PConc,KitchenQual_Gd,BsmtQual_TA,FireplaceQu_None,Fireplaces,BsmtQual_Gd,Exterior2nd_encoded,LotArea,BsmtFinSF1,GarageFinish_Unf,OpenPorchSF,Exterior1st_encoded,HeatingQC_Ex,GarageType_Attchd,BsmtUnfSF,OverallCond,GarageFinish_Fin,BsmtQual_Ex,GarageType_Detchd,HeatingQC_TA,BsmtFinType1_GLQ,WoodDeckSF,KitchenQual_Ex,Foundation_CBlock,MSZoning_RM,FireplaceQu_Gd,HalfBath,MasVnrArea,GarageFinish_RFn,LotShape_Reg,MasVnrType_None,SaleCondition_Partial,SaleType_New
5,136912.1034900026,1040,1965,1040,384,1,1040,185223.20977053,1.0,1965.0,1,1965,1.0,5,0.0,0,0.0,0.0,1.0,1.0,0,0.0,167674.37296794492,11200,906,1.0,0,163093.5197072826,1.0,0.0,134,5,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0,0.0,0.0,1.0,1.0,0.0,0.0
9,315920.0010227745,2324,2005,1175,736,3,1182,239909.0510660367,0.0,2005.0,3,2006,0.0,11,0.0,1142,1.0,0.0,0.0,0.0,2,0.0,161431.5727475966,11924,998,0.0,21,150886.18621977826,1.0,0.0,177,5,1.0,1.0,0.0,0.0,1.0,147,1.0,0.0,0.0,1.0,0,286.0,0.0,0.0,0.0,1.0,1.0
5,136912.1034900026,912,1962,912,352,1,912,185223.20977053,1.0,1962.0,1,1962,1.0,4,0.0,0,0.0,0.0,1.0,1.0,0,0.0,168130.415463841,12968,737,1.0,0,163093.5197072826,0.0,0.0,175,6,0.0,0.0,1.0,1.0,0.0,140,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0
7,197943.08974006787,1494,2006,1494,840,3,1494,185223.20977053,0.0,2006.0,2,2007,0.0,7,1.0,0,1.0,1.0,0.0,0.0,1,1.0,214512.41271653058,10652,0,0.0,33,213810.05460707544,1.0,1.0,1494,5,0.0,0.0,0.0,0.0,0.0,160,0.0,0.0,0.0,1.0,0,306.0,1.0,0.0,0.0,1.0,1.0
6,145878.23747317135,1253,1960,1253,352,1,1253,185223.20977053,1.0,1960.0,1,1960,1.0,5,0.0,0,0.0,0.0,1.0,0.0,1,0.0,149832.2365964435,10920,733,0.0,213,149450.79509063665,0.0,1.0,520,5,0.0,0.0,0.0,1.0,0.0,0,0.0,1.0,0.0,0.0,1,212.0,1.0,0.0,0.0,0.0,0.0
7,125026.82266251187,854,1929,832,576,2,854,109777.54745558939,1.0,1991.0,1,2001,1.0,5,0.0,0,0.0,0.0,1.0,1.0,0,0.0,148419.07240851008,6120,0,1.0,112,149871.79960697473,1.0,0.0,832,8,0.0,0.0,1.0,0.0,0.0,48,0.0,0.0,1.0,0.0,0,0.0,0.0,1.0,1.0,0.0,0.0
6,145878.23747317135,1004,1970,1004,480,2,1004,185223.20977053,1.0,1970.0,1,1970,1.0,5,0.0,0,0.0,0.0,1.0,0.0,1,0.0,148419.07240851008,11241,578,0.0,0,149871.79960697473,1.0,1.0,426,7,1.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0,180.0,0.0,0.0,0.0,0.0,0.0
4,136912.1034900026,1296,1967,0,516,2,1296,133722.64519076995,1.0,1967.0,2,1967,1.0,6,0.0,0,0.0,0.0,0.0,1.0,0,0.0,149832.2365964435,10791,0,1.0,0,149450.79509063665,0.0,0.0,0,5,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,1.0,0.0,0.0
5,186536.79187429376,1114,2004,1114,576,2,1114,185223.20977053,1.0,2004.0,1,2004,0.0,6,0.0,0,1.0,1.0,1.0,1.0,0,0.0,214512.41271653058,13695,646,1.0,102,213810.05460707544,1.0,0.0,468,5,0.0,0.0,1.0,0.0,1.0,0,0.0,0.0,0.0,0.0,1,0.0,0.0,1.0,1.0,0.0,0.0
5,145878.23747317135,1339,1958,1029,294,1,1339,185223.20977053,1.0,1958.0,1,1965,1.0,6,0.0,0,0.0,0.0,1.0,1.0,0,0.0,168130.415463841,7560,504,1.0,0,194518.646991199,0.0,1.0,525,6,0.0,0.0,0.0,1.0,0.0,0,0.0,1.0,0.0,0.0,0,0.0,0.0,1.0,1.0,0.0,0.0
8,315920.0010227745,2376,2005,1158,853,3,1158,239909.0510660367,0.0,2005.0,3,2006,0.0,9,1.0,1218,1.0,1.0,0.0,0.0,1,0.0,214512.41271653058,14215,0,0.0,154,213810.05460707544,1.0,0.0,1158,5,0.0,1.0,0.0,0.0,0.0,240,0.0,0.0,0.0,1.0,1,380.0,1.0,0.0,0.0,1.0,1.0
7,100558.22792898362,1108,1930,637,280,1,1108,109777.54745558939,1.0,1930.0,1,1950,0.0,6,0.0,0,1.0,1.0,1.0,0.0,1,0.0,148419.07240851008,7449,0,1.0,0,149871.79960697473,1.0,1.0,637,7,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,1.0,0,0.0,0.0,1.0,1.0,0.0,0.0
8,197943.08974006787,1795,2002,1777,534,2,1795,185223.20977053,0.0,2002.0,2,2002,0.0,7,1.0,0,1.0,1.0,0.0,0.0,1,1.0,214512.41271653058,9742,0,0.0,159,213810.05460707544,1.0,1.0,1777,5,0.0,0.0,0.0,0.0,0.0,171,0.0,0.0,0.0,1.0,0,281.0,1.0,1.0,0.0,0.0,0.0
5,99534.07435803434,1060,1976,1040,572,2,1060,200733.55595135537,1.0,1976.0,1,1976,1.0,6,0.0,0,1.0,0.0,0.0,0.0,1,1.0,229930.4996504683,4224,840,1.0,110,231524.77253199657,0.0,1.0,200,7,0.0,0.0,0.0,1.0,1.0,100,0.0,0.0,1.0,0.0,0,0.0,0.0,1.0,1.0,0.0,0.0
5,136912.1034900026,1060,1968,1060,270,1,1060,185223.20977053,1.0,1968.0,1,2001,0.0,6,0.0,0,0.0,1.0,1.0,0.0,1,0.0,168130.415463841,8246,188,1.0,90,175951.59962068568,1.0,1.0,204,8,0.0,0.0,0.0,0.0,0.0,406,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0
8,315920.0010227745,1600,2007,1566,890,3,1600,185223.20977053,0.0,2007.0,2,2007,0.0,7,1.0,0,1.0,1.0,0.0,0.0,1,1.0,214512.41271653058,14230,0,0.0,56,213810.05460707544,1.0,1.0,1566,5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0,640.0,1.0,1.0,0.0,0.0,0.0
5,145878.23747317135,900,1951,900,576,2,900,185223.20977053,1.0,2005.0,1,2000,0.0,5,0.0,0,0.0,1.0,1.0,1.0,0,0.0,148419.07240851008,7200,234,1.0,32,149871.79960697473,0.0,0.0,180,7,0.0,0.0,1.0,1.0,0.0,222,0.0,1.0,0.0,0.0,0,0.0,0.0,1.0,1.0,0.0,0.0
8,315920.0010227745,1704,2007,1704,772,3,1704,185223.20977053,0.0,2008.0,2,2008,0.0,7,1.0,0,1.0,1.0,0.0,0.0,1,0.0,214512.41271653058,11478,1218,0.0,50,213810.05460707544,1.0,1.0,486,5,0.0,1.0,0.0,0.0,1.0,0,0.0,0.0,0.0,1.0,0,200.0,1.0,1.0,0.0,0.0,0.0
5,145878.23747317135,1600,1957,1484,319,1,1600,185223.20977053,1.0,1957.0,1,1997,1.0,6,0.0,0,0.0,0.0,1.0,0.0,2,0.0,149832.2365964435,16321,1277,0.0,258,149450.79509063665,0.0,1.0,207,6,0.0,0.0,0.0,1.0,0.0,288,0.0,1.0,0.0,1.0,0,0.0,1.0,0.0,1.0,0.0,0.0
4,125026.82266251187,520,1927,520,240,1,520,96075.68033176576,1.0,1920.0,1,1950,0.0,4,0.0,0,0.0,0.0,1.0,1.0,0,0.0,149832.2365964435,6324,0,1.0,0,149450.79509063665,0.0,0.0,520,6,0.0,0.0,1.0,0.0,0.0,49,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0
4,100558.22792898362,1317,1920,649,250,1,649,166819.45313884038,1.0,1920.0,1,1950,1.0,6,0.0,668,0.0,0.0,1.0,1.0,0,0.0,195699.84440310282,8500,0,1.0,54,194518.646991199,0.0,0.0,649,4,0.0,0.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,1.0,0.0,0.0
5,136912.1034900026,1228,1966,1228,271,1,1228,185223.20977053,1.0,1966.0,1,2006,0.0,6,0.0,0,0.0,1.0,1.0,1.0,0,0.0,167674.37296794492,8544,0,1.0,65,163093.5197072826,0.0,1.0,1228,6,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,1,0.0,0.0,0.0,1.0,0.0,0.0
8,197943.08974006787,1234,2007,1234,484,2,1234,185223.20977053,0.0,2007.0,2,2007,0.0,7,1.0,0,1.0,1.0,0.0,1.0,0,0.0,214512.41271653058,11049,0,0.0,30,213810.05460707544,1.0,1.0,1234,5,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,1.0,0.0,0.0
5,145878.23747317135,1700,1959,1398,447,2,1700,185223.20977053,1.0,1959.0,1,1959,0.0,6,0.0,0,0.0,1.0,1.0,0.0,1,0.0,195699.84440310282,10552,1018,0.0,38,194518.646991199,0.0,1.0,380,5,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.0,1,0.0,1.0,0.0,1.0,0.0,0.0
9,315920.0010227745,1561,2005,1561,556,2,1561,200733.55595135537,0.0,2005.0,2,2005,0.0,6,0.0,0,1.0,0.0,0.0,0.0,1,0.0,149832.2365964435,7313,1153,0.0,47,149450.79509063665,1.0,1.0,408,5,1.0,1.0,0.0,0.0,1.0,203,1.0,0.0,0.0,1.0,0,246.0,0.0,1.0,0.0,0.0,0.0
8,315920.0010227745,2452,2004,1117,691,3,1132,239909.0510660367,0.0,2004.0,3,2005,0.0,9,1.0,1320,1.0,1.0,0.0,0.0,1,0.0,214512.41271653058,13418,0,0.0,32,213810.05460707544,1.0,0.0,1117,5,1.0,1.0,0.0,0.0,0.0,113,0.0,0.0,0.0,1.0,1,132.0,0.0,1.0,0.0,0.0,0.0
5,197943.08974006787,1097,1994,1097,672,2,1097,185223.20977053,1.0,1995.0,1,1995,1.0,6,0.0,0,1.0,0.0,0.0,1.0,0,1.0,214512.41271653058,10859,0,1.0,64,213810.05460707544,1.0,1.0,1097,5,0.0,0.0,0.0,0.0,0.0,392,0.0,0.0,0.0,0.0,1,0.0,0.0,1.0,1.0,0.0,0.0
5,145878.23747317135,1297,1954,1297,498,2,1297,185223.20977053,1.0,1954.0,1,1990,1.0,5,0.0,0,0.0,0.0,1.0,0.0,1,0.0,148419.07240851008,8532,1213,0.0,0,149871.79960697473,0.0,1.0,84,6,1.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0,650.0,0.0,1.0,0.0,0.0,0.0
5,145878.23747317135,1057,1953,1057,246,1,1057,185223.20977053,1.0,1953.0,1,2007,0.0,5,0.0,0,0.0,1.0,1.0,1.0,0,0.0,214512.41271653058,7922,731,1.0,52,213810.05460707544,0.0,0.0,326,7,0.0,0.0,1.0,1.0,1.0,0,0.0,1.0,0.0,0.0,0,0.0,0.0,1.0,1.0,0.0,0.0
4,128324.91096764662,1152,1955,0,0,0,1152,133722.64519076995,1.0,0.0,2,1955,0.0,6,0.0,0,1.0,0.0,0.0,1.0,0,0.0,168130.415463841,6040,0,0.0,0,108113.71678010846,0.0,0.0,0,5,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,1.0,0.0,0.0
6,145878.23747317135,1324,1965,1088,440,2,1324,185223.20977053,1.0,1965.0,2,1965,1.0,6,0.0,0,0.0,0.0,1.0,0.0,1,0.0,148419.07240851008,8658,643,0.0,138,149871.79960697473,1.0,1.0,445,5,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0,101.0,1.0,1.0,0.0,0.0,0.0
5,243927.12577844597,1328,1959,1350,308,1,1328,185223.20977053,1.0,1959.0,1,1959,1.0,5,0.0,0,0.0,0.0,1.0,0.0,2,0.0,214512.41271653058,16905,967,0.0,104,213810.05460707544,0.0,1.0,383,6,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.0,1,0.0,1.0,1.0,1.0,0.0,0.0
5,186536.79187429376,884,1983,840,504,2,884,148137.92470090053,1.0,1983.0,1,1983,0.0,5,0.0,0,0.0,1.0,0.0,1.0,0,1.0,167674.37296794492,9180,747,0.0,0,163093.5197072826,0.0,1.0,0,7,0.0,0.0,0.0,0.0,0.0,240,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,1.0,0.0,0.0
5,197943.08974006787,938,1975,938,308,1,938,185223.20977053,1.0,1977.0,1,1980,1.0,5,0.0,0,0.0,0.0,0.0,1.0,0,1.0,214512.41271653058,9200,280,1.0,0,213810.05460707544,0.0,0.0,167,6,0.0,0.0,1.0,1.0,0.0,145,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0
5,145878.23747317135,1150,1959,1150,300,1,1150,185223.20977053,1.0,1959.0,1,1959,1.0,6,0.0,0,0.0,0.0,1.0,1.0,0,0.0,148419.07240851008,7945,179,0.0,0,194518.646991199,1.0,1.0,465,6,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0,0.0,1.0,1.0,1.0,0.0,0.0
9,315920.0010227745,1752,2005,1752,576,2,1752,200733.55595135537,0.0,2005.0,2,2005,0.0,6,0.0,0,1.0,0.0,0.0,0.0,1,0.0,149832.2365964435,7658,456,0.0,82,149450.79509063665,1.0,1.0,1296,5,0.0,1.0,0.0,0.0,1.0,196,1.0,0.0,0.0,1.0,0,412.0,1.0,1.0,0.0,0.0,0.0
7,156370.3674584998,2149,2003,1434,670,2,1518,143355.16004825375,0.0,2003.0,1,2003,0.0,6,1.0,631,1.0,1.0,0.0,0.0,1,0.0,214512.41271653058,12822,1351,0.0,43,213810.05460707544,1.0,1.0,83,5,0.0,1.0,0.0,0.0,1.0,168,0.0,0.0,0.0,0.0,1,0.0,1.0,0.0,1.0,0.0,0.0
8,225276.7062524152,1656,2006,1656,826,3,1656,185223.20977053,0.0,2006.0,2,2006,0.0,7,1.0,0,1.0,1.0,0.0,1.0,0,1.0,214512.41271653058,11096,24,0.0,146,213810.05460707544,1.0,1.0,1632,5,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,1.0,0.0,0.0
4,128318.41942542572,1452,1920,736,0,0,736,129953.18142245663,1.0,0.0,2,2008,1.0,8,0.0,716,0.0,0.0,1.0,1.0,0,0.0,149832.2365964435,4456,0,0.0,0,149450.79509063665,0.0,0.0,736,5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0,0.0,0.0,1.0,1.0,1.0,1.0
5,136912.1034900026,955,1966,955,386,1,955,185223.20977053,1.0,1966.0,1,1966,1.0,6,0.0,0,0.0,0.0,1.0,1.0,0,0.0,167674.37296794492,7742,763,1.0,0,163093.5197072826,1.0,1.0,192,7,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0,0.0,0.0,1.0,1.0,0.0,0.0
6,192824.3949363408,1470,1997,794,388,2,794,239909.0510660367,1.0,1997.0,2,1997,1.0,6,0.0,676,1.0,0.0,0.0,1.0,0,1.0,214512.41271653058,13869,182,0.0,75,213810.05460707544,0.0,1.0,612,6,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0
6,125026.82266251187,1176,1934,816,528,2,816,143355.16004825375,1.0,1985.0,1,1950,1.0,6,0.0,0,1.0,0.0,1.0,0.0,1,0.0,148419.07240851008,6240,0,1.0,0,149871.79960697473,0.0,0.0,816,6,0.0,0.0,1.0,1.0,0.0,112,0.0,0.0,1.0,1.0,0,0.0,0.0,1.0,1.0,0.0,0.0
5,100558.22792898362,816,1963,816,516,2,816,133722.64519076995,0.0,1963.0,1,1963,1.0,5,0.0,0,0.0,0.0,0.0,1.0,0,1.0,148419.07240851008,8472,104,1.0,0,149871.79960697473,0.0,0.0,0,5,0.0,0.0,0.0,1.0,0.0,106,0.0,1.0,1.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0
9,237739.82847840988,1842,1981,1842,894,3,1842,185223.20977053,0.0,1981.0,0,1987,0.0,5,1.0,0,0.0,1.0,0.0,0.0,1,0.0,161431.5727475966,50271,1810,0.0,72,150886.18621977826,0.0,1.0,32,5,1.0,1.0,0.0,0.0,1.0,857,0.0,1.0,0.0,1.0,1,0.0,0.0,0.0,1.0,0.0,0.0
5,145878.23747317135,1360,1955,384,572,2,1360,169814.79159017815,1.0,1962.0,1,1955,1.0,6,0.0,0,0.0,0.0,1.0,0.0,1,0.0,149832.2365964435,7134,384,1.0,50,149450.79509063665,0.0,0.0,0,5,0.0,0.0,1.0,1.0,0.0,0,0.0,1.0,0.0,0.0,0,0.0,0.0,1.0,1.0,0.0,0.0
6,145878.23747317135,1425,1964,1425,576,2,1425,185223.20977053,1.0,1964.0,2,1964,1.0,7,0.0,0,0.0,0.0,1.0,0.0,1,0.0,168130.415463841,10175,490,0.0,0,163093.5197072826,0.0,1.0,935,5,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.0,0,272.0,1.0,0.0,0.0,0.0,0.0
8,225276.7062524152,1739,1999,970,480,2,983,138781.1879581992,0.0,1999.0,2,2000,0.0,7,1.0,756,1.0,1.0,0.0,1.0,0,1.0,149832.2365964435,2645,649,0.0,0,149450.79509063665,1.0,1.0,321,5,1.0,0.0,0.0,0.0,1.0,115,0.0,0.0,0.0,0.0,1,456.0,0.0,1.0,0.0,0.0,0.0
7,197943.08974006787,1720,2004,860,565,2,860,239909.0510660367,0.0,2004.0,2,2004,0.0,7,1.0,860,1.0,1.0,0.0,1.0,0,1.0,214512.41271653058,11645,0,0.0,70,213810.05460707544,1.0,1.0,860,5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0.0,1.0,0.0,1.0,0.0,0.0
10,309470.67773643613,2945,2006,1410,641,3,1426,239909.0510660367,0.0,2006.0,3,2006,0.0,10,0.0,1519,1.0,1.0,0.0,0.0,1,0.0,214512.41271653058,13682,0,0.0,0,213810.05460707544,1.0,0.0,1410,5,1.0,1.0,0.0,0.0,0.0,192,0.0,0.0,0.0,1.0,1,1031.0,0.0,0.0,0.0,1.0,1.0
5,197943.08974006787,780,1972,780,352,1,780,185223.20977053,1.0,1973.0,1,1972,1.0,4,0.0,0,0.0,0.0,1.0,1.0,0,0.0,167674.37296794492,7200,632,1.0,0,163093.5197072826,1.0,0.0,148,7,0.0,0.0,1.0,0.0,0.0,196,0.0,1.0,0.0,0.0,0,0.0,0.0,1.0,1.0,0.0,0.0
6,186536.79187429376,1158,2004,1158,576,2,1158,185223.20977053,1.0,2006.0,1,2004,0.0,5,0.0,0,1.0,1.0,0.0,1.0,0,1.0,214512.41271653058,13072,941,1.0,50,213810.05460707544,1.0,0.0,217,5,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0.0,0.0,1.0,1.0,1.0,1.0
5,100558.22792898362,1111,1920,530,288,1,581,192295.43697272782,1.0,1935.0,1,1996,0.0,6,0.0,530,0.0,0.0,1.0,1.0,0,0.0,149832.2365964435,7200,0,1.0,0,149450.79509063665,0.0,0.0,530,7,0.0,0.0,1.0,1.0,0.0,0,0.0,0.0,1.0,0.0,0,0.0,0.0,1.0,1.0,0.0,0.0
8,315920.0010227745,1370,2006,1370,484,2,1370,200733.55595135537,0.0,2006.0,2,2006,0.0,6,1.0,0,1.0,1.0,0.0,0.0,1,1.0,214512.41271653058,6442,24,0.0,49,213810.05460707544,1.0,1.0,1346,5,0.0,0.0,0.0,0.0,1.0,120,0.0,0.0,0.0,1.0,0,178.0,1.0,0.0,0.0,0.0,0.0
7,128318.41942542572,1710,1921,576,480,2,902,166819.45313884038,1.0,1990.0,2,1950,1.0,9,0.0,808,0.0,0.0,1.0,1.0,0,0.0,156096.18621977826,10300,0,1.0,11,163132.3840856425,0.0,0.0,576,6,0.0,0.0,1.0,0.0,0.0,12,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0
7,197943.08974006787,2034,1997,1057,645,2,1057,239909.0510660367,1.0,1998.0,2,1998,0.0,8,0.0,977,1.0,1.0,0.0,1.0,0,1.0,214512.41271653058,9375,739,0.0,36,213810.05460707544,1.0,1.0,318,5,0.0,0.0,0.0,0.0,1.0,576,0.0,0.0,0.0,0.0,1,573.0,1.0,1.0,0.0,0.0,0.0
8,315920.0010227745,2473,2004,1143,852,3,1143,239909.0510660367,0.0,2004.0,2,2005,0.0,9,1.0,1330,1.0,1.0,0.0,0.0,1,0.0,214512.41271653058,9591,0,0.0,151,213810.05460707544,1.0,0.0,1143,5,0.0,1.0,0.0,0.0,0.0,192,0.0,0.0,0.0,1.0,1,344.0,1.0,1.0,0.0,0.0,0.0
7,145878.23747317135,2207,1970,1947,576,2,2207,185223.20977053,1.0,1970.0,2,1989,1.0,7,0.0,0,0.0,0.0,0.0,0.0,1,1.0,168130.415463841,19900,912,0.0,0,175951.59962068568,0.0,1.0,1035,5,0.0,0.0,0.0,1.0,1.0,301,0.0,1.0,0.0,1.0,0,287.0,1.0,1.0,0.0,0.0,0.0
7,197943.08974006787,1479,2003,1453,558,2,1479,185223.20977053,0.0,2003.0,2,2003,0.0,7,1.0,0,1.0,1.0,0.0,1.0,0,1.0,214512.41271653058,10665,1013,0.0,29,213810.05460707544,1.0,1.0,440,5,0.0,0.0,0.0,0.0,1.0,144,0.0,0.0,0.0,0.0,0,167.0,1.0,0.0,0.0,0.0,0.0
4,128318.41942542572,747,1945,747,220,1,747,96075.68033176576,1.0,1945.0,1,1950,1.0,4,0.0,0,0.0,0.0,1.0,1.0,0,0.0,149832.2365964435,4608,0,1.0,0,149450.79509063665,0.0,1.0,747,6,0.0,0.0,0.0,1.0,0.0,0,0.0,1.0,1.0,0.0,0,0.0,0.0,1.0,1.0,0.0,0.0
7,212341.06662972306,2287,1953,1304,667,2,1304,143355.16004825375,0.0,1953.0,2,1953,1.0,7,1.0,983,0.0,0.0,1.0,0.0,1,0.0,114722.62767119757,15593,603,0.0,21,194518.646991199,0.0,1.0,701,4,1.0,0.0,0.0,1.0,0.0,0,0.0,1.0,0.0,0.0,0,0.0,0.0,1.0,1.0,0.0,0.0
7,145878.23747317135,2223,1973,2223,516,2,2223,185223.20977053,1.0,1973.0,2,1973,1.0,8,0.0,0,0.0,0.0,0.0,0.0,2,1.0,168130.415463841,13651,1880,0.0,0,175951.59962068568,1.0,1.0,343,6,1.0,0.0,0.0,0.0,0.0,300,0.0,1.0,0.0,1.0,0,1115.0,0.0,0.0,0.0,0.0,0.0
