Attribute,Category,Count,Median_Price
LotArea,8750,4,195750.0
LotArea,7018,4,130958.5
LotArea,10625,4,210000.0
LotArea,13125,4,214200.0
LotArea,8520,4,120950.0
LotArea,7000,4,123500.0
LotArea,8640,4,240018.0
LotArea,11250,4,194250.0
LotArea,6600,4,120000.0
LotArea,9120,3,184000.0
LotArea,8000,3,141000.0
LotArea,11600,3,145250.0
LotArea,14115,3,187500.0
LotArea,2117,3,177000.0
LotArea,2280,3,148500.0
LotArea,12090,3,178000.0
LotArea,9084,3,108000.0
LotArea,2522,3,130000.0
LotArea,8012,3,179200.0
LotArea,10500,3,115000.0
LotArea,8712,3,102776.0
LotArea,3675,3,145000.0
LotArea,8777,3,108000.0
LotArea,9920,3,128500.0
LotArea,7750,3,180000.0
LotArea,4426,3,143000.0
LotArea,6762,3,195400.0
LotArea,10200,3,144900.0
LotArea,9200,3,140000.0
LotArea,13891,3,465000.0
LotArea,7875,3,176000.0
LotArea,11500,3,136905.0
LotArea,10440,3,157500.0
LotArea,10120,2,206000.0
LotArea,4224,2,131950.0
LotArea,9842,2,145400.0
LotArea,10240,2,241500.0
LotArea,8877,2,101000.0
LotArea,7153,2,177550.0
LotArea,9790,2,152250.0
LotArea,8816,2,147000.0
LotArea,8100,2,129750.0
LotArea,11767,2,121250.0
LotArea,3180,2,147576.0
LotArea,9317,2,194716.0
LotArea,11029,2,213250.0
LotArea,12155,2,151750.0
LotArea,12665,2,217556.5
LotArea,7024,2,166500.0
LotArea,11075,2,189450.0
LotArea,10237,2,174445.0
LotArea,12160,2,145750.0
LotArea,4060,2,140450.0
LotArea,13695,2,157000.0
LotArea,7560,2,136350.0
LotArea,9400,2,133250.0
LotArea,1533,2,94500.0
LotArea,9760,2,177450.0
LotArea,12000,2,160750.0
LotArea,11000,2,201000.0
LotArea,9020,2,171700.0
LotArea,11900,2,124250.0
LotArea,10530,2,139125.0
LotArea,7700,2,133750.0
LotArea,9937,2,157250.0
LotArea,13072,2,150250.0
LotArea,11645,2,228250.0
LotArea,9591,2,295950.0
LotArea,8846,2,160950.0
LotArea,9245,2,179250.0
LotArea,8405,2,108500.0
LotArea,9571,2,94500.0
LotArea,10480,2,160000.0
LotArea,7758,2,151000.0
LotArea,9965,2,404420.0
LotArea,9525,2,140450.0
LotArea,21750,2,114000.0
LotArea,3230,2,174250.0
LotArea,11616,2,148950.0
LotArea,8480,2,125500.0
LotArea,5330,2,166750.0
LotArea,11988,2,169350.0
LotArea,3922,2,183350.5
LotArea,1890,2,97000.0
LotArea,8892,2,121250.0
LotArea,9187,2,252439.0
LotArea,2308,2,151000.0
LotArea,5925,2,63685.5
LotArea,2665,2,121000.0
LotArea,7931,2,143750.0
LotArea,2645,2,173250.0
LotArea,8172,2,125000.0
LotArea,13600,2,147500.0
LotArea,8248,2,91500.0
LotArea,10206,2,163500.0
LotArea,6292,2,118000.0
LotArea,11040,2,126500.0
LotArea,3196,2,224500.0
LotArea,4043,2,133750.0
LotArea,7590,2,162250.0
LotArea,7917,2,161500.0
LotArea,14803,2,287500.0
LotArea,11340,2,123750.0
LotArea,15611,2,204115.0
LotArea,9819,2,159000.0
LotArea,9786,2,125000.0
LotArea,13500,2,280000.0
LotArea,10335,2,192000.0
LotArea,9135,2,207000.0
LotArea,9500,2,162000.0
LotArea,7892,2,126700.0
LotArea,4928,2,135875.0
LotArea,11275,2,231000.0
LotArea,9042,2,229250.0
LotArea,12342,2,111200.0
LotArea,14000,2,243250.0
LotArea,8250,2,139500.0
LotArea,11475,2,144950.0
LotArea,8773,2,177250.0
LotArea,8760,2,193899.5
LotArea,8814,2,211500.0
LotArea,5500,2,116600.0
LotArea,9350,2,168950.0
LotArea,10762,2,172500.0
LotArea,11200,2,154750.0
LotArea,9060,2,112500.0
LotArea,10410,2,120000.0
LotArea,10125,2,148750.0
LotArea,4438,2,146750.0
LotArea,10084,2,259950.0
LotArea,7420,2,125000.0
LotArea,10382,2,170000.0
LotArea,15256,1,282922.0
LotArea,7415,1,193000.0
LotArea,6171,1,137450.0
LotArea,57200,1,160000.0
LotArea,4045,1,246578.0
LotArea,7838,1,123000.0
LotArea,8944,1,124000.0
LotArea,14892,1,377500.0
LotArea,16692,1,250000.0
LotArea,5436,1,125500.0
LotArea,25339,1,112000.0
LotArea,12925,1,237500.0
LotArea,8212,1,58500.0
LotArea,9735,1,167500.0
LotArea,1953,1,83000.0
LotArea,10998,1,117000.0
LotArea,22950,1,475000.0
LotArea,7438,1,127000.0
LotArea,11426,1,200000.0
LotArea,7588,1,200100.0
LotArea,17423,1,501837.0
LotArea,13650,1,172500.0
LotArea,10029,1,211000.0
LotArea,12615,1,243000.0
LotArea,12416,1,184000.0
LotArea,13175,1,210000.0
LotArea,17217,1,84500.0
LotArea,9262,1,287090.0
LotArea,26142,1,157900.0
LotArea,8854,1,121000.0
LotArea,11003,1,310000.0
LotArea,11526,1,191000.0
LotArea,5604,1,98000.0
LotArea,14364,1,277000.0
LotArea,12493,1,141000.0
LotArea,13673,1,143900.0
LotArea,11851,1,180500.0
LotArea,3500,1,110000.0
LotArea,8546,1,140000.0
LotArea,5520,1,104000.0
LotArea,25419,1,235000.0
LotArea,9416,1,311872.0
LotArea,7180,1,127000.0
LotArea,9017,1,192000.0
LotArea,7472,1,184000.0
LotArea,10570,1,315000.0
LotArea,4923,1,286000.0
LotArea,9947,1,173000.0
LotArea,7851,1,216500.0
LotArea,10650,1,128200.0
LotArea,15138,1,403000.0
LotArea,8521,1,125000.0
LotArea,1869,1,106000.0
LotArea,9950,1,290000.0
LotArea,13472,1,386250.0
LotArea,8068,1,200000.0
LotArea,8990,1,204900.0
LotArea,3010,1,167240.0
LotArea,15660,1,311500.0
LotArea,9906,1,107000.0
LotArea,10011,1,134450.0
LotArea,10900,1,161750.0
LotArea,13568,1,156000.0
LotArea,10420,1,186000.0
LotArea,12702,1,97000.0
LotArea,12435,1,231500.0
LotArea,8791,1,207500.0
LotArea,8738,1,230000.0
LotArea,8366,1,173000.0
LotArea,4750,1,235000.0
LotArea,5350,1,76500.0
LotArea,159000,1,277000.0
LotArea,11317,1,180000.0
LotArea,11310,1,140000.0
LotArea,9142,1,137000.0
LotArea,8880,1,205000.0
LotArea,3880,1,110500.0
LotArea,8741,1,113000.0
LotArea,12030,1,318000.0
LotArea,9453,1,194500.0
LotArea,5306,1,239000.0
LotArea,31770,1,215000.0
LotArea,12358,1,128500.0
LotArea,16669,1,228000.0
LotArea,8244,1,183500.0
LotArea,10562,1,325624.0
LotArea,10708,1,190000.0
LotArea,10106,1,127500.0
LotArea,12182,1,220000.0
LotArea,13688,1,412500.0
LotArea,11120,1,162500.0
LotArea,19378,1,320000.0
LotArea,12552,1,254900.0
LotArea,8471,1,151000.0
LotArea,9588,1,276000.0
LotArea,19296,1,176000.0
LotArea,10355,1,143000.0
LotArea,5063,1,207500.0
LotArea,11287,1,228500.0
LotArea,10005,1,192000.0
LotArea,14450,1,415298.0
LotArea,19138,1,141000.0
LotArea,9196,1,201000.0
LotArea,7264,1,205000.0
LotArea,8314,1,124500.0
LotArea,11764,1,290000.0
LotArea,39104,1,241500.0
LotArea,10728,1,266000.0
LotArea,6900,1,120500.0
LotArea,11207,1,185000.0
LotArea,5232,1,73000.0
LotArea,10197,1,163000.0
LotArea,15750,1,157000.0
LotArea,7399,1,239000.0
LotArea,13710,1,152000.0
LotArea,7937,1,142500.0
LotArea,16659,1,235000.0
LotArea,11409,1,131000.0
LotArea,5687,1,135900.0
LotArea,8730,1,153575.0
LotArea,4251,1,164700.0
LotArea,9612,1,244600.0
LotArea,12003,1,269500.0
LotArea,10356,1,122000.0
LotArea,9505,1,222500.0
LotArea,15426,1,231500.0
LotArea,9066,1,230000.0
LotArea,11070,1,171000.0
LotArea,5820,1,126175.0
LotArea,10380,1,301000.0
LotArea,12099,1,354000.0
LotArea,16259,1,342643.0
LotArea,13005,1,260000.0
LotArea,7795,1,188500.0
LotArea,215245,1,375000.0
LotArea,7685,1,165600.0
LotArea,12378,1,360000.0
LotArea,7920,1,89500.0
LotArea,13474,1,225000.0
LotArea,10386,1,305900.0
LotArea,18386,1,295000.0
LotArea,9800,1,149900.0
LotArea,13704,1,205000.0
LotArea,16226,1,267000.0
LotArea,12772,1,151500.0
LotArea,6435,1,140200.0
LotArea,2592,1,85000.0
LotArea,8849,1,266000.0
LotArea,14191,1,202900.0
LotArea,12400,1,155000.0
LotArea,14145,1,202500.0
LotArea,14157,1,377426.0
LotArea,164660,1,228950.0
LotArea,8198,1,207000.0
LotArea,10655,1,284000.0
LotArea,8176,1,139000.0
LotArea,10624,1,119000.0
LotArea,6402,1,78000.0
LotArea,11888,1,214500.0
LotArea,10846,1,324000.0
LotArea,9830,1,162000.0
LotArea,9150,1,165000.0
LotArea,10690,1,147000.0
LotArea,18800,1,190000.0
LotArea,7301,1,198500.0
LotArea,9144,1,145000.0
LotArea,7540,1,156000.0
LotArea,12011,1,280000.0
LotArea,6930,1,130000.0
LotArea,9248,1,173000.0
LotArea,11249,1,177500.0
LotArea,5271,1,190000.0
LotArea,7820,1,318061.0
LotArea,20431,1,437154.0
LotArea,2448,1,154000.0
LotArea,17600,1,157500.0
LotArea,6853,1,220000.0
LotArea,7388,1,150750.0
LotArea,12224,1,244000.0
LotArea,14200,1,226000.0
LotArea,8973,1,150000.0
LotArea,4388,1,87000.0
LotArea,6780,1,84500.0
LotArea,17043,1,181000.0
LotArea,9464,1,136000.0
LotArea,6060,1,100000.0
LotArea,21453,1,180000.0
LotArea,8200,1,219500.0
LotArea,10634,1,123000.0
LotArea,7175,1,125000.0
LotArea,17120,1,134432.0
LotArea,8121,1,172400.0
LotArea,10364,1,168000.0
LotArea,8767,1,164990.0
LotArea,14963,1,245500.0
LotArea,8967,1,67000.0
LotArea,10134,1,109000.0
LotArea,7446,1,100000.0
LotArea,8339,1,106500.0
LotArea,12209,1,215000.0
LotArea,12474,1,426000.0
LotArea,9382,1,191000.0
LotArea,8410,1,81000.0
LotArea,53107,1,240000.0
LotArea,8123,1,179000.0
LotArea,11394,1,394432.0
LotArea,11143,1,340000.0
LotArea,10020,1,61000.0
LotArea,8536,1,155000.0
LotArea,7259,1,259500.0
LotArea,21000,1,217000.0
LotArea,11751,1,190000.0
LotArea,10402,1,198900.0
LotArea,8160,1,126000.0
LotArea,22420,1,239000.0
LotArea,7844,1,149500.0
LotArea,8899,1,181134.0
LotArea,11228,1,228000.0
LotArea,8960,1,115000.0
LotArea,4403,1,222000.0
LotArea,34650,1,145000.0
LotArea,14154,1,280000.0
LotArea,15576,1,177000.0
LotArea,9991,1,150000.0
LotArea,15431,1,555000.0
LotArea,12354,1,110000.0
LotArea,4280,1,90350.0
LotArea,4400,1,116000.0
LotArea,10667,1,212000.0
LotArea,10839,1,181000.0
LotArea,1920,1,122500.0
LotArea,5586,1,79900.0
LotArea,11457,1,175000.0
LotArea,8593,1,109008.0
LotArea,12800,1,275000.0
LotArea,3378,1,135000.0
LotArea,16635,1,215000.0
LotArea,7060,1,206300.0
LotArea,8461,1,163990.0
LotArea,12376,1,320000.0
LotArea,8430,1,124000.0
LotArea,8281,1,62383.0
LotArea,8004,1,263435.0
LotArea,7015,1,110000.0
LotArea,5100,1,161000.0
LotArea,53227,1,256000.0
LotArea,4571,1,98000.0
LotArea,9297,1,188000.0
LotArea,9303,1,204000.0
LotArea,70761,1,280000.0
LotArea,5684,1,110000.0
LotArea,8600,1,119500.0
LotArea,11214,1,199900.0
LotArea,16492,1,190000.0
LotArea,9855,1,127500.0
LotArea,12108,1,118000.0
LotArea,1526,1,86000.0
LotArea,12243,1,175000.0
LotArea,10289,1,156000.0
LotArea,2500,1,155000.0
LotArea,11846,1,374000.0
LotArea,16033,1,326000.0
LotArea,10637,1,297000.0
LotArea,13693,1,380000.0
LotArea,14977,1,440000.0
LotArea,11952,1,190000.0
LotArea,6820,1,212000.0
LotArea,9291,1,187000.0
LotArea,11428,1,250000.0
LotArea,9480,1,146500.0
LotArea,10628,1,167000.0
LotArea,3072,1,178740.0
LotArea,12220,1,402861.0
LotArea,10594,1,96500.0
LotArea,6792,1,202665.0
LotArea,14559,1,164900.0
LotArea,7862,1,208300.0
LotArea,9554,1,215000.0
LotArea,7596,1,124500.0
LotArea,15602,1,289000.0
LotArea,9170,1,140000.0
LotArea,9803,1,226700.0
LotArea,7535,1,120000.0
LotArea,12692,1,430000.0
LotArea,7879,1,34900.0
LotArea,5784,1,91300.0
LotArea,15578,1,172785.0
LotArea,9490,1,133000.0
LotArea,9206,1,178000.0
LotArea,10603,1,205000.0
LotArea,9320,1,128950.0
LotArea,10921,1,94750.0
LotArea,10264,1,214000.0
LotArea,9765,1,185000.0
LotArea,9337,1,204750.0
LotArea,13360,1,163500.0
LotArea,8070,1,123600.0
LotArea,8470,1,85000.0
LotArea,3951,1,164500.0
LotArea,11911,1,174000.0
LotArea,16059,1,260000.0
LotArea,8530,1,168500.0
LotArea,10208,1,265000.0
LotArea,10448,1,158000.0
LotArea,4058,1,133000.0
LotArea,14601,1,315000.0
LotArea,11423,1,272000.0
LotArea,11553,1,158000.0
LotArea,12735,1,111250.0
LotArea,8924,1,188000.0
LotArea,9056,1,178000.0
LotArea,6155,1,128000.0
LotArea,32668,1,200624.0
LotArea,9098,1,86000.0
LotArea,14948,1,446261.0
LotArea,13300,1,132000.0
LotArea,11787,1,315750.0
LotArea,40094,1,184750.0
LotArea,10918,1,234000.0
LotArea,9531,1,211000.0
LotArea,11198,1,325000.0
LotArea,6858,1,128000.0
LotArea,13346,1,268000.0
LotArea,21780,1,185000.0
LotArea,13907,1,108000.0
LotArea,10010,1,170000.0
LotArea,11341,1,121500.0
LotArea,21872,1,175000.0
LotArea,14850,1,141000.0
LotArea,6380,1,113000.0
LotArea,11146,1,255500.0
LotArea,8235,1,125000.0
LotArea,7244,1,129500.0
LotArea,8737,1,210000.0
LotArea,13837,1,229000.0
LotArea,17104,1,179665.0
LotArea,8740,1,137000.0
LotArea,10267,1,130000.0
LotArea,11443,1,369900.0
LotArea,11841,1,118500.0
LotArea,12704,1,253293.0
LotArea,14585,1,181900.0
LotArea,12150,1,131500.0
LotArea,3604,1,146000.0
LotArea,11777,1,164500.0
LotArea,9967,1,170000.0
LotArea,13159,1,224500.0
LotArea,7332,1,120000.0
LotArea,13101,1,142600.0
LotArea,7032,1,135960.0
LotArea,12327,1,316600.0
LotArea,10171,1,214000.0
LotArea,10395,1,148000.0
LotArea,11050,1,313000.0
LotArea,7943,1,118500.0
LotArea,12168,1,359100.0
LotArea,12464,1,152000.0
LotArea,12803,1,221000.0
LotArea,10041,1,220000.0
LotArea,10927,1,275000.0
LotArea,1950,1,151000.0
LotArea,12984,1,217500.0
LotArea,3600,1,114504.0
LotArea,11302,1,319000.0
LotArea,7990,1,110000.0
LotArea,13478,1,451950.0
LotArea,8320,1,185900.0
LotArea,25095,1,143000.0
LotArea,10778,1,136500.0
LotArea,8635,1,127000.0
LotArea,8475,1,135750.0
LotArea,1596,1,91000.0
LotArea,5790,1,107400.0
LotArea,10141,1,185000.0
LotArea,7599,1,129500.0
LotArea,13651,1,244000.0
LotArea,15593,1,225000.0
LotArea,4608,1,80000.0
LotArea,10665,1,226000.0
LotArea,7227,1,105500.0
LotArea,7861,1,183200.0
LotArea,1491,1,75500.0
LotArea,8402,1,147000.0
LotArea,11885,1,261500.0
LotArea,1936,1,84500.0
LotArea,10452,1,155000.0
LotArea,10793,1,152000.0
LotArea,13860,1,345000.0
LotArea,7050,1,226000.0
LotArea,12677,1,274000.0
LotArea,3982,1,264561.0
LotArea,10896,1,200000.0
LotArea,6979,1,144000.0
LotArea,9250,1,139400.0
LotArea,4590,1,209500.0
LotArea,11606,1,135000.0
LotArea,7064,1,135000.0
LotArea,12244,1,305000.0
LotArea,11694,1,314813.0
LotArea,13000,1,193500.0
LotArea,2289,1,148500.0
LotArea,14442,1,257500.0
LotArea,6629,1,103600.0
LotArea,8633,1,173500.0
LotArea,14175,1,168000.0
LotArea,18450,1,129000.0
LotArea,11194,1,230500.0
LotArea,20896,1,423000.0
LotArea,10012,1,137500.0
LotArea,13560,1,110000.0
LotArea,46589,1,402000.0
LotArea,12384,1,197900.0
LotArea,17503,1,97500.0
LotArea,10007,1,145500.0
LotArea,10437,1,350000.0
LotArea,10320,1,135000.0
LotArea,4282,1,196000.0
LotArea,6420,1,123500.0
LotArea,13811,1,176000.0
LotArea,26178,1,335000.0
LotArea,21535,1,755000.0
LotArea,7577,1,194700.0
LotArea,8089,1,392000.0
LotArea,5105,1,148800.0
LotArea,10207,1,227875.0
LotArea,5062,1,207500.0
LotArea,16770,1,221000.0
LotArea,11248,1,285000.0
LotArea,2887,1,173000.0
LotArea,9945,1,128500.0
LotArea,11844,1,372500.0
LotArea,9022,1,109500.0
LotArea,6960,1,120500.0
LotArea,13286,1,320000.0
LotArea,8120,1,124500.0
LotArea,6563,1,275000.0
LotArea,10542,1,341000.0
LotArea,13517,1,130500.0
LotArea,9873,1,129000.0
LotArea,4671,1,189000.0
LotArea,4130,1,52000.0
LotArea,7162,1,109900.0
LotArea,9018,1,179540.0
LotArea,115149,1,302000.0
LotArea,5600,1,55000.0
LotArea,7630,1,140000.0
LotArea,12438,1,361919.0
LotArea,14331,1,312500.0
LotArea,19900,1,180000.0
LotArea,10300,1,140000.0
LotArea,6442,1,202500.0
LotArea,13682,1,438780.0
LotArea,10175,1,180500.0
LotArea,7134,1,130000.0
LotArea,50271,1,385000.0
LotArea,8472,1,110000.0
LotArea,13869,1,177000.0
LotArea,7742,1,127000.0
LotArea,8978,1,108000.0
LotArea,11404,1,222500.0
LotArea,9590,1,187500.0
LotArea,5389,1,236500.0
LotArea,7314,1,194500.0
LotArea,21695,1,222000.0
LotArea,14587,1,264132.0
LotArea,9549,1,270000.0
LotArea,9430,1,337000.0
LotArea,6911,1,100000.0
LotArea,12257,1,290000.0
LotArea,10769,1,212000.0
LotArea,7930,1,156000.0
LotArea,9236,1,217000.0
LotArea,10593,1,260400.0
LotArea,8795,1,236000.0
LotArea,8963,1,299800.0
LotArea,5395,1,180000.0
LotArea,12886,1,175000.0
LotArea,6768,1,142000.0
LotArea,9313,1,190000.0
LotArea,10463,1,239900.0
LotArea,9158,1,225000.0
LotArea,11333,1,146800.0
LotArea,12205,1,187500.0
LotArea,10142,1,233000.0
LotArea,6300,1,128000.0
LotArea,9101,1,165500.0
LotArea,16285,1,187100.0
LotArea,13350,1,142500.0
LotArea,11210,1,221500.0
LotArea,14226,1,395000.0
LotArea,10150,1,114500.0
LotArea,7819,1,107000.0
LotArea,7252,1,134900.0
LotArea,53504,1,538000.0
LotArea,12508,1,160000.0
LotArea,10421,1,196500.0
LotArea,12394,1,225000.0
LotArea,7226,1,183000.0
LotArea,6371,1,224000.0
LotArea,13265,1,271000.0
LotArea,11425,1,137000.0
LotArea,12137,1,224900.0
LotArea,13400,1,159950.0
LotArea,21384,1,223500.0
LotArea,12274,1,227680.0
LotArea,8199,1,189000.0
LotArea,4800,1,109900.0
LotArea,12798,1,200000.0
LotArea,13518,1,485000.0
LotArea,7677,1,110000.0
LotArea,8197,1,143500.0
LotArea,10832,1,194500.0
LotArea,7642,1,189950.0
LotArea,10970,1,147000.0
LotArea,6897,1,127000.0
LotArea,17920,1,170000.0
LotArea,12095,1,158000.0
LotArea,7128,1,164000.0
LotArea,45600,1,240000.0
LotArea,15523,1,133500.0
LotArea,16647,1,171000.0
LotArea,10004,1,167000.0
LotArea,9548,1,237000.0
LotArea,2544,1,147400.0
LotArea,28698,1,185000.0
LotArea,8529,1,189000.0
LotArea,6130,1,109500.0
LotArea,11216,1,232600.0
LotArea,5119,1,328900.0
LotArea,7150,1,100000.0
LotArea,6204,1,118500.0
LotArea,9636,1,178000.0
LotArea,13758,1,187500.0
LotArea,11782,1,148000.0
LotArea,8834,1,350000.0
LotArea,25286,1,132250.0
LotArea,5720,1,66500.0
LotArea,12144,1,133000.0
LotArea,9938,1,236000.0
LotArea,14762,1,169000.0
LotArea,6970,1,129000.0
LotArea,10656,1,248900.0
LotArea,9672,1,152000.0
LotArea,11625,1,131500.0
LotArea,4456,1,113000.0
LotArea,11096,1,249700.0
LotArea,12822,1,239686.0
LotArea,7658,1,319900.0
LotArea,7945,1,141000.0
LotArea,9180,1,144000.0
LotArea,16905,1,170000.0
LotArea,8658,1,160000.0
LotArea,6040,1,82000.0
LotArea,7922,1,109000.0
LotArea,8532,1,153000.0
LotArea,10859,1,145000.0
LotArea,13418,1,309000.0
LotArea,7313,1,277500.0
LotArea,10552,1,165500.0
LotArea,8393,1,145000.0
LotArea,12589,1,174000.0
LotArea,8885,1,131000.0
LotArea,13501,1,255000.0
LotArea,6173,1,125500.0
LotArea,14859,1,240000.0
LotArea,7340,1,110000.0
LotArea,6993,1,135000.0
LotArea,12919,1,611657.0
LotArea,8765,1,106500.0
LotArea,7056,1,140000.0
LotArea,13284,1,165000.0
LotArea,8414,1,154500.0
LotArea,11184,1,172500.0
LotArea,8064,1,122900.0
LotArea,15865,1,268000.0
LotArea,16466,1,135500.0
LotArea,9675,1,253000.0
LotArea,10083,1,184900.0
LotArea,5825,1,79900.0
LotArea,27650,1,242000.0
LotArea,8487,1,190000.0
LotArea,11670,1,320000.0
LotArea,8925,1,201000.0
LotArea,13006,1,222000.0
LotArea,11838,1,236500.0
LotArea,11999,1,285000.0
LotArea,8462,1,201000.0
LotArea,17140,1,135000.0
LotArea,2001,1,75000.0
LotArea,3000,1,173733.0
LotArea,6270,1,145000.0
LotArea,9286,1,143500.0
LotArea,12227,1,272000.0
LotArea,7207,1,116500.0
LotArea,2572,1,155000.0
LotArea,1300,1,124000.0
LotArea,7136,1,145000.0
LotArea,9360,1,197500.0
LotArea,14006,1,192500.0
LotArea,14536,1,270000.0
LotArea,8163,1,143000.0
LotArea,8820,1,124900.0
LotArea,14375,1,137500.0
LotArea,25000,1,143000.0
LotArea,7711,1,150000.0
LotArea,8755,1,214000.0
LotArea,12640,1,150900.0
LotArea,24090,1,244400.0
LotArea,12046,1,195000.0
LotArea,10159,1,395192.0
LotArea,5310,1,117000.0
LotArea,10880,1,125000.0
LotArea,12203,1,336000.0
LotArea,12122,1,178400.0
LotArea,9450,1,110000.0
LotArea,4274,1,199900.0
