OverallQual,Neighborhood_encoded,GrLivArea,YearBuilt,TotalBsmtSF,GarageArea,GarageCars,1stFlrSF,MSSubClass_encoded,ExterQual_TA,GarageYrBlt,FullBath,YearRemodAdd,KitchenQual_TA,TotRmsAbvGrd,ExterQual_Gd,2ndFlrSF,Foundation_PConc,KitchenQual_Gd,BsmtQual_TA,FireplaceQu_None,Fireplaces,LotArea,Exterior2nd_encoded,BsmtQual_Gd,BsmtFinSF1,GarageFinish_Unf,OpenPorchSF,Exterior1st_encoded,GarageType_Attchd,HeatingQC_Ex,BsmtUnfSF,BsmtQual_Ex,OverallCond,BsmtFinType1_GLQ,GarageFinish_Fin,GarageType_Detchd,WoodDeckSF,Foundation_CBlock,HeatingQC_TA,LotShape_Reg,KitchenQual_Ex,GarageFinish_RFn,MSZoning_RM,HalfBath,MasVnrArea,SaleType_New,MasVnrType_None,SaleCondition_Partial,FireplaceQu_Gd
5,137381.63193054605,1040,1965,1040,384,1,1040,185216.8145154394,1.0,1965.0,1,1965,1.0,5,0.0,0,0.0,0.0,1.0,1.0,0,11200,167725.35766726418,0.0,906,1.0,0,163157.5084968204,0.0,1.0,134,0.0,5,0.0,0.0,1.0,0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0
9,314535.49224090966,2324,2005,1175,736,3,1182,239751.77464930317,0.0,2005.0,3,2006,0.0,11,0.0,1142,1.0,0.0,0.0,0.0,2,11924,161831.5485843834,0.0,998,0.0,21,151776.38499225752,0.0,1.0,177,1.0,5,1.0,1.0,0.0,147,0.0,0.0,0.0,1.0,0.0,0.0,0,286.0,1.0,0.0,1.0,1.0
5,137381.63193054605,912,1962,912,352,1,912,185216.8145154394,1.0,1962.0,1,1962,1.0,4,0.0,0,0.0,0.0,1.0,1.0,0,12968,168202.02373979686,0.0,737,1.0,0,163157.5084968204,0.0,0.0,175,0.0,6,0.0,0.0,1.0,140,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0
7,197852.95625689375,1494,2006,1494,840,3,1494,185216.8145154394,0.0,2006.0,2,2007,0.0,7,1.0,0,1.0,1.0,0.0,0.0,1,10652,214459.1079261725,1.0,0,0.0,33,213758.9794073611,1.0,1.0,1494,0.0,5,0.0,0.0,0.0,160,0.0,0.0,0.0,0.0,1.0,0.0,0,306.0,1.0,0.0,1.0,1.0
6,146002.31590615463,1253,1960,1253,352,1,1253,185216.8145154394,1.0,1960.0,1,1960,1.0,5,0.0,0,0.0,0.0,1.0,0.0,1,10920,149947.9506734463,0.0,733,0.0,213,149564.74839271925,1.0,0.0,520,0.0,5,0.0,0.0,0.0,0,1.0,1.0,0.0,0.0,1.0,0.0,1,212.0,0.0,0.0,0.0,0.0
7,125784.83719984665,854,1929,832,576,2,854,114156.18421468866,1.0,1991.0,1,2001,1.0,5,0.0,0,0.0,0.0,1.0,1.0,0,6120,148550.43128682298,0.0,0,1.0,112,149991.83282507706,0.0,1.0,832,0.0,8,0.0,0.0,1.0,48,0.0,0.0,1.0,0.0,0.0,1.0,0,0.0,0.0,1.0,0.0,0.0
6,146002.31590615463,1004,1970,1004,480,2,1004,185216.8145154394,1.0,1970.0,1,1970,1.0,5,0.0,0,0.0,0.0,1.0,0.0,1,11241,148550.43128682298,0.0,578,0.0,0,149991.83282507706,1.0,1.0,426,0.0,7,0.0,1.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0,180.0,0.0,0.0,0.0,0.0
4,137381.63193054605,1296,1967,0,516,2,1296,134435.21499605573,1.0,1967.0,2,1967,1.0,6,0.0,0,0.0,0.0,0.0,1.0,0,10791,149947.9506734463,0.0,0,1.0,0,149564.74839271925,0.0,0.0,0,0.0,5,0.0,0.0,0.0,0,0.0,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0
5,186462.03991318255,1114,2004,1114,576,2,1114,185216.8145154394,1.0,2004.0,1,2004,0.0,6,0.0,0,1.0,1.0,1.0,1.0,0,13695,214459.1079261725,0.0,646,1.0,102,213758.9794073611,0.0,1.0,468,0.0,5,1.0,0.0,1.0,0,0.0,0.0,1.0,0.0,0.0,0.0,1,0.0,0.0,1.0,0.0,0.0
5,146002.31590615463,1339,1958,1029,294,1,1339,185216.8145154394,1.0,1958.0,1,1965,1.0,6,0.0,0,0.0,0.0,1.0,1.0,0,7560,168202.02373979686,0.0,504,1.0,0,194305.49793707748,1.0,0.0,525,0.0,6,0.0,0.0,0.0,0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0
8,314535.49224090966,2376,2005,1158,853,3,1158,239751.77464930317,0.0,2005.0,3,2006,0.0,9,1.0,1218,1.0,1.0,0.0,0.0,1,14215,214459.1079261725,0.0,0,0.0,154,213758.9794073611,0.0,1.0,1158,1.0,5,0.0,0.0,0.0,240,0.0,0.0,0.0,0.0,1.0,0.0,1,380.0,1.0,0.0,1.0,1.0
7,102250.27354713033,1108,1930,637,280,1,1108,114156.18421468866,1.0,1930.0,1,1950,0.0,6,0.0,0,1.0,1.0,1.0,0.0,1,7449,148550.43128682298,0.0,0,1.0,0,149991.83282507706,1.0,1.0,637,0.0,7,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,1.0,0,0.0,0.0,1.0,0.0,1.0
8,197852.95625689375,1795,2002,1777,534,2,1795,185216.8145154394,0.0,2002.0,2,2002,0.0,7,1.0,0,1.0,1.0,0.0,0.0,1,9742,214459.1079261725,1.0,0,0.0,159,213758.9794073611,1.0,1.0,1777,0.0,5,0.0,0.0,0.0,171,0.0,0.0,1.0,0.0,1.0,0.0,0,281.0,0.0,0.0,0.0,1.0
5,103151.68859949737,1060,1976,1040,572,2,1060,200553.52721353355,1.0,1976.0,1,1976,1.0,6,0.0,0,1.0,0.0,0.0,0.0,1,4224,229287.87532444185,1.0,840,1.0,110,230871.94185146698,1.0,0.0,200,0.0,7,1.0,0.0,0.0,100,0.0,1.0,1.0,0.0,0.0,1.0,0,0.0,0.0,1.0,0.0,0.0
5,137381.63193054605,1060,1968,1060,270,1,1060,185216.8145154394,1.0,1968.0,1,2001,0.0,6,0.0,0,0.0,1.0,1.0,0.0,1,8246,168202.02373979686,0.0,188,1.0,90,175988.14123661423,1.0,1.0,204,0.0,8,0.0,0.0,0.0,406,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0
8,314535.49224090966,1600,2007,1566,890,3,1600,185216.8145154394,0.0,2007.0,2,2007,0.0,7,1.0,0,1.0,1.0,0.0,0.0,1,14230,214459.1079261725,1.0,0,0.0,56,213758.9794073611,1.0,1.0,1566,0.0,5,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,1.0,0.0,0,640.0,0.0,0.0,0.0,1.0
5,146002.31590615463,900,1951,900,576,2,900,185216.8145154394,1.0,2005.0,1,2000,0.0,5,0.0,0,0.0,1.0,1.0,1.0,0,7200,148550.43128682298,0.0,234,1.0,32,149991.83282507706,0.0,0.0,180,0.0,7,0.0,0.0,1.0,222,1.0,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0
8,314535.49224090966,1704,2007,1704,772,3,1704,185216.8145154394,0.0,2008.0,2,2008,0.0,7,1.0,0,1.0,1.0,0.0,0.0,1,11478,214459.1079261725,0.0,1218,0.0,50,213758.9794073611,1.0,1.0,486,1.0,5,1.0,0.0,0.0,0,0.0,0.0,1.0,0.0,1.0,0.0,0,200.0,0.0,0.0,0.0,1.0
5,146002.31590615463,1600,1957,1484,319,1,1600,185216.8145154394,1.0,1957.0,1,1997,1.0,6,0.0,0,0.0,0.0,1.0,0.0,2,16321,149947.9506734463,0.0,1277,0.0,258,149564.74839271925,1.0,0.0,207,0.0,6,0.0,0.0,0.0,288,1.0,1.0,0.0,0.0,1.0,0.0,0,0.0,0.0,1.0,0.0,1.0
4,125784.83719984665,520,1927,520,240,1,520,97045.4484970136,1.0,1920.0,1,1950,0.0,4,0.0,0,0.0,0.0,1.0,1.0,0,6324,149947.9506734463,0.0,0,1.0,0,149564.74839271925,0.0,0.0,520,0.0,6,0.0,0.0,1.0,49,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,1.0,0.0,0.0
4,102250.27354713033,1317,1920,649,250,1,649,167004.51466870413,1.0,1920.0,1,1950,1.0,6,0.0,668,0.0,0.0,1.0,1.0,0,8500,195245.39979965202,0.0,0,1.0,54,194305.49793707748,0.0,0.0,649,0.0,4,0.0,0.0,1.0,0,0.0,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0
5,137381.63193054605,1228,1966,1228,271,1,1228,185216.8145154394,1.0,1966.0,1,2006,0.0,6,0.0,0,0.0,1.0,1.0,1.0,0,8544,167725.35766726418,0.0,0,1.0,65,163157.5084968204,1.0,0.0,1228,0.0,6,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1.0,0.0,0.0
8,197852.95625689375,1234,2007,1234,484,2,1234,185216.8145154394,0.0,2007.0,2,2007,0.0,7,1.0,0,1.0,1.0,0.0,1.0,0,11049,214459.1079261725,0.0,0,0.0,30,213758.9794073611,1.0,1.0,1234,1.0,5,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,1.0,0.0,0,0.0,0.0,1.0,0.0,0.0
5,146002.31590615463,1700,1959,1398,447,2,1700,185216.8145154394,1.0,1959.0,1,1959,0.0,6,0.0,0,0.0,1.0,1.0,0.0,1,10552,195245.39979965202,0.0,1018,0.0,38,194305.49793707748,1.0,0.0,380,0.0,5,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,1,0.0,0.0,1.0,0.0,1.0
9,314535.49224090966,1561,2005,1561,556,2,1561,200553.52721353355,0.0,2005.0,2,2005,0.0,6,0.0,0,1.0,0.0,0.0,0.0,1,7313,149947.9506734463,0.0,1153,0.0,47,149564.74839271925,1.0,1.0,408,1.0,5,1.0,1.0,0.0,203,0.0,0.0,1.0,1.0,0.0,0.0,0,246.0,0.0,0.0,0.0,1.0
8,314535.49224090966,2452,2004,1117,691,3,1132,239751.77464930317,0.0,2004.0,3,2005,0.0,9,1.0,1320,1.0,1.0,0.0,0.0,1,13418,214459.1079261725,0.0,0,0.0,32,213758.9794073611,0.0,1.0,1117,1.0,5,0.0,1.0,0.0,113,0.0,0.0,1.0,0.0,0.0,0.0,1,132.0,0.0,0.0,0.0,1.0
5,197852.95625689375,1097,1994,1097,672,2,1097,185216.8145154394,1.0,1995.0,1,1995,1.0,6,0.0,0,1.0,0.0,0.0,1.0,0,10859,214459.1079261725,1.0,0,1.0,64,213758.9794073611,1.0,1.0,1097,0.0,5,0.0,0.0,0.0,392,0.0,0.0,1.0,0.0,0.0,0.0,1,0.0,0.0,1.0,0.0,0.0
5,146002.31590615463,1297,1954,1297,498,2,1297,185216.8145154394,1.0,1954.0,1,1990,1.0,5,0.0,0,0.0,0.0,1.0,0.0,1,8532,148550.43128682298,0.0,1213,0.0,0,149991.83282507706,1.0,0.0,84,0.0,6,0.0,1.0,0.0,0,1.0,0.0,1.0,0.0,0.0,0.0,0,650.0,0.0,0.0,0.0,0.0
5,146002.31590615463,1057,1953,1057,246,1,1057,185216.8145154394,1.0,1953.0,1,2007,0.0,5,0.0,0,0.0,1.0,1.0,1.0,0,7922,214459.1079261725,0.0,731,1.0,52,213758.9794073611,0.0,0.0,326,0.0,7,1.0,0.0,1.0,0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0
4,128741.58806723716,1152,1955,0,0,0,1152,134435.21499605573,1.0,0.0,2,1955,0.0,6,0.0,0,1.0,0.0,0.0,1.0,0,6040,168202.02373979686,0.0,0,0.0,0,110887.68546623585,0.0,0.0,0,0.0,5,0.0,0.0,0.0,0,0.0,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0
6,146002.31590615463,1324,1965,1088,440,2,1324,185216.8145154394,1.0,1965.0,2,1965,1.0,6,0.0,0,0.0,0.0,1.0,0.0,1,8658,148550.43128682298,0.0,643,0.0,138,149991.83282507706,1.0,1.0,445,0.0,5,0.0,0.0,0.0,0,1.0,0.0,1.0,0.0,1.0,0.0,0,101.0,0.0,0.0,0.0,0.0
5,242600.8788102882,1328,1959,1350,308,1,1328,185216.8145154394,1.0,1959.0,1,1959,1.0,5,0.0,0,0.0,0.0,1.0,0.0,2,16905,214459.1079261725,0.0,967,0.0,104,213758.9794073611,1.0,0.0,383,0.0,6,0.0,0.0,0.0,0,1.0,0.0,1.0,0.0,1.0,0.0,1,0.0,0.0,1.0,0.0,1.0
5,186462.03991318255,884,1983,840,504,2,884,149387.161656712,1.0,1983.0,1,1983,0.0,5,0.0,0,0.0,1.0,0.0,1.0,0,9180,167725.35766726418,1.0,747,0.0,0,163157.5084968204,1.0,0.0,0,0.0,7,0.0,0.0,0.0,240,1.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,1.0,0.0,0.0
5,197852.95625689375,938,1975,938,308,1,938,185216.8145154394,1.0,1977.0,1,1980,1.0,5,0.0,0,0.0,0.0,0.0,1.0,0,9200,214459.1079261725,1.0,280,1.0,0,213758.9794073611,0.0,0.0,167,0.0,6,0.0,0.0,1.0,145,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0
5,146002.31590615463,1150,1959,1150,300,1,1150,185216.8145154394,1.0,1959.0,1,1959,1.0,6,0.0,0,0.0,0.0,1.0,1.0,0,7945,148550.43128682298,0.0,179,0.0,0,194305.49793707748,1.0,1.0,465,0.0,6,0.0,0.0,0.0,0,1.0,0.0,1.0,0.0,1.0,0.0,0,0.0,0.0,1.0,0.0,0.0
9,314535.49224090966,1752,2005,1752,576,2,1752,200553.52721353355,0.0,2005.0,2,2005,0.0,6,0.0,0,1.0,0.0,0.0,0.0,1,7658,149947.9506734463,0.0,456,0.0,82,149564.74839271925,1.0,1.0,1296,1.0,5,1.0,0.0,0.0,196,0.0,0.0,1.0,1.0,1.0,0.0,0,412.0,0.0,0.0,0.0,1.0
7,156763.32789581906,2149,2003,1434,670,2,1518,143562.47168821347,0.0,2003.0,1,2003,0.0,6,1.0,631,1.0,1.0,0.0,0.0,1,12822,214459.1079261725,0.0,1351,0.0,43,213758.9794073611,1.0,1.0,83,1.0,5,1.0,0.0,0.0,168,0.0,0.0,0.0,0.0,1.0,0.0,1,0.0,0.0,1.0,0.0,0.0
8,224868.92407805694,1656,2006,1656,826,3,1656,185216.8145154394,0.0,2006.0,2,2006,0.0,7,1.0,0,1.0,1.0,0.0,1.0,0,11096,214459.1079261725,1.0,24,0.0,146,213758.9794073611,1.0,1.0,1632,0.0,5,1.0,0.0,0.0,0,0.0,0.0,1.0,0.0,1.0,0.0,0,0.0,0.0,1.0,0.0,0.0
4,128687.62627009608,1452,1920,736,0,0,736,131268.72241261136,1.0,0.0,2,2008,1.0,8,0.0,716,0.0,0.0,1.0,1.0,0,4456,149947.9506734463,0.0,0,0.0,0,149564.74839271925,0.0,0.0,736,0.0,5,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,1.0,0,0.0,1.0,1.0,1.0,0.0
5,137381.63193054605,955,1966,955,386,1,955,185216.8145154394,1.0,1966.0,1,1966,1.0,6,0.0,0,0.0,0.0,1.0,1.0,0,7742,167725.35766726418,0.0,763,1.0,0,163157.5084968204,1.0,1.0,192,0.0,7,0.0,0.0,0.0,0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0
6,192705.45493488692,1470,1997,794,388,2,794,239751.77464930317,1.0,1997.0,2,1997,1.0,6,0.0,676,1.0,0.0,0.0,1.0,0,13869,214459.1079261725,1.0,182,0.0,75,213758.9794073611,1.0,0.0,612,0.0,6,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0
6,125784.83719984665,1176,1934,816,528,2,816,143562.47168821347,1.0,1985.0,1,1950,1.0,6,0.0,0,1.0,0.0,1.0,0.0,1,6240,148550.43128682298,0.0,0,1.0,0,149991.83282507706,0.0,0.0,816,0.0,6,0.0,0.0,1.0,112,0.0,1.0,1.0,0.0,0.0,1.0,0,0.0,0.0,1.0,0.0,1.0
5,102250.27354713033,816,1963,816,516,2,816,134435.21499605573,0.0,1963.0,1,1963,1.0,5,0.0,0,0.0,0.0,0.0,1.0,0,8472,148550.43128682298,1.0,104,1.0,0,149991.83282507706,0.0,0.0,0,0.0,5,0.0,0.0,0.0,106,1.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,1.0,0.0,0.0
9,233952.53289924603,1842,1981,1842,894,3,1842,185216.8145154394,0.0,1981.0,0,1987,0.0,5,1.0,0,0.0,1.0,0.0,0.0,1,50271,161831.5485843834,0.0,1810,0.0,72,151776.38499225752,1.0,0.0,32,1.0,5,1.0,1.0,0.0,857,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1.0,0.0,1.0
5,146002.31590615463,1360,1955,384,572,2,1360,169968.11025501642,1.0,1962.0,1,1955,1.0,6,0.0,0,0.0,0.0,1.0,0.0,1,7134,149947.9506734463,0.0,384,1.0,50,149564.74839271925,0.0,0.0,0,0.0,5,0.0,0.0,1.0,0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0
6,146002.31590615463,1425,1964,1425,576,2,1425,185216.8145154394,1.0,1964.0,2,1964,1.0,7,0.0,0,0.0,0.0,1.0,0.0,1,10175,168202.02373979686,0.0,490,0.0,0,163157.5084968204,1.0,0.0,935,0.0,5,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0,272.0,0.0,0.0,0.0,1.0
8,224868.92407805694,1739,1999,970,480,2,983,139308.05304360864,0.0,1999.0,2,2000,0.0,7,1.0,756,1.0,1.0,0.0,1.0,0,2645,149947.9506734463,1.0,649,0.0,0,149564.74839271925,1.0,1.0,321,0.0,5,1.0,1.0,0.0,115,0.0,0.0,1.0,0.0,0.0,0.0,1,456.0,0.0,0.0,0.0,0.0
7,197852.95625689375,1720,2004,860,565,2,860,239751.77464930317,0.0,2004.0,2,2004,0.0,7,1.0,860,1.0,1.0,0.0,1.0,0,11645,214459.1079261725,1.0,0,0.0,70,213758.9794073611,1.0,1.0,860,0.0,5,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1,0.0,0.0,1.0,0.0,0.0
10,305515.5921073443,2945,2006,1410,641,3,1426,239751.77464930317,0.0,2006.0,3,2006,0.0,10,0.0,1519,1.0,1.0,0.0,0.0,1,13682,214459.1079261725,0.0,0,0.0,0,213758.9794073611,0.0,1.0,1410,1.0,5,0.0,1.0,0.0,192,0.0,0.0,0.0,0.0,0.0,0.0,1,1031.0,1.0,0.0,1.0,1.0
5,197852.95625689375,780,1972,780,352,1,780,185216.8145154394,1.0,1973.0,1,1972,1.0,4,0.0,0,0.0,0.0,1.0,1.0,0,7200,167725.35766726418,0.0,632,1.0,0,163157.5084968204,0.0,1.0,148,0.0,7,0.0,0.0,1.0,196,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0
6,186462.03991318255,1158,2004,1158,576,2,1158,185216.8145154394,1.0,2006.0,1,2004,0.0,5,0.0,0,1.0,1.0,0.0,1.0,0,13072,214459.1079261725,1.0,941,1.0,50,213758.9794073611,0.0,1.0,217,0.0,5,0.0,0.0,1.0,0,0.0,0.0,1.0,0.0,0.0,0.0,1,0.0,1.0,1.0,1.0,0.0
5,102250.27354713033,1111,1920,530,288,1,581,191760.61145829133,1.0,1935.0,1,1996,0.0,6,0.0,530,0.0,0.0,1.0,1.0,0,7200,149947.9506734463,0.0,0,1.0,0,149564.74839271925,0.0,0.0,530,0.0,7,0.0,0.0,1.0,0,0.0,1.0,1.0,0.0,0.0,1.0,0,0.0,0.0,1.0,0.0,0.0
8,314535.49224090966,1370,2006,1370,484,2,1370,200553.52721353355,0.0,2006.0,2,2006,0.0,6,1.0,0,1.0,1.0,0.0,0.0,1,6442,214459.1079261725,1.0,24,0.0,49,213758.9794073611,1.0,1.0,1346,0.0,5,1.0,0.0,0.0,120,0.0,0.0,0.0,0.0,1.0,0.0,0,178.0,0.0,0.0,0.0,1.0
7,128687.62627009608,1710,1921,576,480,2,902,167004.51466870413,1.0,1990.0,2,1950,1.0,9,0.0,808,0.0,0.0,1.0,1.0,0,10300,156832.01462188712,0.0,0,1.0,11,163680.0151842674,0.0,0.0,576,0.0,6,0.0,0.0,1.0,12,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,1.0,0.0,0.0
7,197852.95625689375,2034,1997,1057,645,2,1057,239751.77464930317,1.0,1998.0,2,1998,0.0,8,0.0,977,1.0,1.0,0.0,1.0,0,9375,214459.1079261725,1.0,739,0.0,36,213758.9794073611,1.0,1.0,318,0.0,5,1.0,0.0,0.0,576,0.0,0.0,1.0,0.0,1.0,0.0,1,573.0,0.0,0.0,0.0,0.0
8,314535.49224090966,2473,2004,1143,852,3,1143,239751.77464930317,0.0,2004.0,2,2005,0.0,9,1.0,1330,1.0,1.0,0.0,0.0,1,9591,214459.1079261725,0.0,0,0.0,151,213758.9794073611,0.0,1.0,1143,1.0,5,0.0,0.0,0.0,192,0.0,0.0,1.0,0.0,1.0,0.0,1,344.0,0.0,0.0,0.0,1.0
7,146002.31590615463,2207,1970,1947,576,2,2207,185216.8145154394,1.0,1970.0,2,1989,1.0,7,0.0,0,0.0,0.0,0.0,0.0,1,19900,168202.02373979686,1.0,912,0.0,0,175988.14123661423,1.0,0.0,1035,0.0,5,1.0,0.0,0.0,301,1.0,1.0,1.0,0.0,1.0,0.0,0,287.0,0.0,0.0,0.0,1.0
7,197852.95625689375,1479,2003,1453,558,2,1479,185216.8145154394,0.0,2003.0,2,2003,0.0,7,1.0,0,1.0,1.0,0.0,1.0,0,10665,214459.1079261725,1.0,1013,0.0,29,213758.9794073611,1.0,1.0,440,0.0,5,1.0,0.0,0.0,144,0.0,0.0,0.0,0.0,1.0,0.0,0,167.0,0.0,0.0,0.0,0.0
4,128687.62627009608,747,1945,747,220,1,747,97045.4484970136,1.0,1945.0,1,1950,1.0,4,0.0,0,0.0,0.0,1.0,1.0,0,4608,149947.9506734463,0.0,0,1.0,0,149564.74839271925,1.0,0.0,747,0.0,6,0.0,0.0,0.0,0,1.0,1.0,1.0,0.0,0.0,1.0,0,0.0,0.0,1.0,0.0,0.0
7,211474.56533761907,2287,1953,1304,667,2,1304,143562.47168821347,0.0,1953.0,2,1953,1.0,7,1.0,983,0.0,0.0,1.0,0.0,1,15593,117244.82832337871,0.0,603,0.0,21,194305.49793707748,1.0,0.0,701,0.0,4,0.0,1.0,0.0,0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0
